Output Number, Steps To Reach 1, Cache Hit Rate
99, 25, 7.50
85, 9, 7.60
63, 107, 7.70
80, 9, 7.80
64, 6, 7.90
11, 14, 7.90
22, 15, 8.00
53, 11, 8.10
73, 115, 8.20
87, 30, 8.30
25, 23, 8.40
5, 5, 8.50
46, 16, 8.50
67, 27, 8.60
50, 24, 8.70
75, 14, 8.80
83, 110, 8.90
40, 8, 9.00
97, 118, 9.10
96, 12, 9.20
49, 24, 9.30
70, 14, 9.30
33, 26, 9.40
44, 16, 9.40
65, 27, 9.40
26, 10, 9.50
35, 13, 9.60
68, 14, 9.70
33, 26, 9.80
66, 27, 9.90
83, 110, 10.00
55, 112, 10.10
21, 7, 10.10
86, 30, 10.10
22, 15, 10.20
71, 102, 10.20
28, 18, 10.30
12, 9, 10.40
73, 115, 10.50
67, 27, 10.60
45, 16, 10.70
98, 25, 10.80
12, 9, 10.90
88, 17, 11.00
47, 104, 11.10
56, 19, 11.20
85, 9, 11.30
45, 16, 11.40
12, 9, 11.50
55, 112, 11.60
94, 105, 11.70
28, 18, 11.80
29, 18, 11.90
10, 6, 12.00
4, 2, 12.10
87, 30, 12.20
76, 22, 12.30
30, 18, 12.40
11, 14, 12.50
88, 17, 12.60
21, 7, 12.70
5, 5, 12.80
40, 8, 12.90
42, 8, 13.00
34, 13, 13.10
29, 18, 13.20
93, 17, 13.30
26, 10, 13.40
89, 30, 13.50
33, 26, 13.60
5, 5, 13.70
12, 9, 13.80
100, 25, 13.90
25, 23, 14.00
56, 19, 14.10
95, 105, 14.20
86, 30, 14.30
89, 30, 14.40
97, 118, 14.50
49, 24, 14.60
37, 21, 14.70
88, 17, 14.80
10, 6, 14.90
93, 17, 15.00
33, 26, 15.10
80, 9, 15.20
62, 107, 15.30
27, 111, 15.40
18, 20, 15.50
100, 25, 15.60
25, 23, 15.70
75, 14, 15.80
58, 19, 15.90
40, 8, 16.00
55, 112, 16.10
17, 12, 16.20
21, 7, 16.30
51, 24, 16.30
29, 18, 16.40
67, 27, 16.50
62, 107, 16.60
19, 20, 16.70
59, 32, 16.80
35, 13, 16.90
76, 22, 17.00
30, 18, 17.10
37, 21, 17.20
67, 27, 17.30
22, 15, 17.40
72, 22, 17.40
47, 104, 17.50
86, 30, 17.60
32, 5, 17.70
4, 2, 17.80
23, 15, 17.90
28, 18, 18.00
41, 109, 18.10
24, 10, 18.10
58, 19, 18.20
94, 105, 18.30
65, 27, 18.40
75, 14, 18.50
37, 21, 18.60
28, 18, 18.70
22, 15, 18.80
28, 18, 18.90
37, 21, 19.00
17, 12, 19.10
42, 8, 19.20
43, 29, 19.30
38, 21, 19.30
38, 21, 19.40
89, 30, 19.50
11, 14, 19.60
90, 17, 19.70
54, 112, 19.70
93, 17, 19.80
28, 18, 19.90
90, 17, 20.00
63, 107, 20.10
45, 16, 20.20
8, 3, 20.20
98, 25, 20.30
33, 26, 20.40
46, 16, 20.50
13, 9, 20.60
77, 22, 20.70
82, 110, 20.80
64, 6, 20.90
79, 35, 20.90
47, 104, 21.00
93, 17, 21.10
83, 110, 21.20
43, 29, 21.30
63, 107, 21.40
70, 14, 21.50
18, 20, 21.60
18, 20, 21.70
10, 6, 21.80
51, 24, 21.90
44, 16, 22.00
39, 34, 22.10
92, 17, 22.20
4, 2, 22.30
50, 24, 22.40
45, 16, 22.50
60, 19, 22.60
57, 32, 22.70
57, 32, 22.80
78, 35, 22.90
15, 17, 23.00
68, 14, 23.10
81, 22, 23.10
96, 12, 23.20
31, 106, 23.30
32, 5, 23.40
24, 10, 23.50
73, 115, 23.60
69, 14, 23.70
37, 21, 23.80
48, 11, 23.80
82, 110, 23.90
95, 105, 24.00
98, 25, 24.10
21, 7, 24.20
34, 13, 24.30
81, 22, 24.40
46, 16, 24.50
88, 17, 24.60
58, 19, 24.70
3, 7, 24.70
2, 1, 24.70
57, 32, 24.80
23, 15, 24.90
19, 20, 25.00
52, 11, 25.10
58, 19, 25.20
58, 19, 25.30
38, 21, 25.40
9, 19, 25.50
57, 32, 25.60
86, 30, 25.70
66, 27, 25.80
87, 30, 25.90
87, 30, 26.00
32, 5, 26.10
28, 18, 26.20
3, 7, 26.30
84, 9, 26.40
92, 17, 26.50
58, 19, 26.60
87, 30, 26.70
73, 115, 26.80
67, 27, 26.90
79, 35, 27.00
59, 32, 27.10
8, 3, 27.20
29, 18, 27.30
28, 18, 27.40
20, 7, 27.50
10, 6, 27.60
94, 105, 27.70
59, 32, 27.80
21, 7, 27.90
98, 25, 28.00
21, 7, 28.10
7, 16, 28.20
91, 92, 28.20
61, 19, 28.30
78, 35, 28.40
7, 16, 28.50
41, 109, 28.60
67, 27, 28.70
7, 16, 28.80
63, 107, 28.90
46, 16, 29.00
60, 19, 29.10
10, 6, 29.20
86, 30, 29.30
32, 5, 29.40
37, 21, 29.50
20, 7, 29.60
64, 6, 29.70
54, 112, 29.80
55, 112, 29.90
64, 6, 30.00
84, 9, 30.10
95, 105, 30.20
61, 19, 30.30
54, 112, 30.40
97, 118, 30.50
82, 110, 30.60
96, 12, 30.70
67, 27, 30.80
28, 18, 30.90
35, 13, 31.00
67, 27, 31.10
10, 6, 31.20
6, 8, 31.20
52, 11, 31.30
42, 8, 31.40
37, 21, 31.50
53, 11, 31.60
60, 19, 31.70
45, 16, 31.80
36, 21, 31.90
76, 22, 32.00
94, 105, 32.10
26, 10, 32.20
18, 20, 32.30
11, 14, 32.40
83, 110, 32.50
73, 115, 32.60
56, 19, 32.70
64, 6, 32.80
79, 35, 32.90
45, 16, 33.00
97, 118, 33.10
4, 2, 33.20
97, 118, 33.30
81, 22, 33.40
82, 110, 33.50
46, 16, 33.60
41, 109, 33.70
88, 17, 33.80
16, 4, 33.90
66, 27, 34.00
39, 34, 34.10
46, 16, 34.20
12, 9, 34.30
22, 15, 34.40
88, 17, 34.50
16, 4, 34.60
60, 19, 34.70
78, 35, 34.80
43, 29, 34.90
34, 13, 35.00
24, 10, 35.10
44, 16, 35.20
4, 2, 35.30
48, 11, 35.40
46, 16, 35.50
15, 17, 35.60
88, 17, 35.70
69, 14, 35.80
48, 11, 35.90
94, 105, 36.00
27, 111, 36.10
23, 15, 36.20
93, 17, 36.30
43, 29, 36.40
30, 18, 36.50
53, 11, 36.60
34, 13, 36.70
87, 30, 36.80
30, 18, 36.90
71, 102, 37.00
75, 14, 37.10
47, 104, 37.20
3, 7, 37.30
7, 16, 37.40
96, 12, 37.50
22, 15, 37.60
74, 22, 37.60
34, 13, 37.70
66, 27, 37.80
89, 30, 37.90
38, 21, 38.00
62, 107, 38.10
63, 107, 38.20
60, 19, 38.30
65, 27, 38.40
24, 10, 38.50
77, 22, 38.60
22, 15, 38.70
53, 11, 38.80
87, 30, 38.90
87, 30, 39.00
52, 11, 39.10
81, 22, 39.20
10, 6, 39.30
73, 115, 39.40
15, 17, 39.50
26, 10, 39.60
46, 16, 39.70
76, 22, 39.80
96, 12, 39.90
99, 25, 40.00
55, 112, 40.10
78, 35, 40.20
45, 16, 40.30
66, 27, 40.40
99, 25, 40.50
82, 110, 40.60
33, 26, 40.70
6, 8, 40.80
83, 110, 40.90
77, 22, 41.00
7, 16, 41.10
68, 14, 41.20
39, 34, 41.30
92, 17, 41.40
76, 22, 41.50
94, 105, 41.60
